City,Latitude,Longitude,PM2.5,PM10
Delhi,28.61,77.23,541.95,463.68
Mumbai,19.0761,72.8775,869.88,774.3
Kolkata,22.5675,88.37,546.08,432.19
Bangalore,12.9789,77.5917,86.66,80.03
Chennai,13.0825,80.275,173.95,150.9
Hydrabad,17.3617,78.4747,152.46,137.16
Pune,18.5203,73.8567,214.9,183.26
Ahmedabad,23.0225,72.5714,379.14,330.64
Surat,21.1702,72.8311,240.17,191.98
Lucknow,26.85,80.95,348.41,314.79
Jaipur,26.9,75.8,193.07,186.97
Kanpur,26.4499,80.3319,345.62,290.99
Mirzapur,25.146,82.569,539.72,453.43
Nagpur,21.1497,79.0806,298.36,260.51
Ghaziabad,28.67,77.42,433.64,360.04
Supaul,26.126,86.605,359.32,325.53
Vadodara,22.3,73.2,189.08,159.58
Rajkot,22.3,70.7833,127.87,96.36
Vishakhapatnam,17.7042,83.2978,198.17,194.9
Indore,22.7167,75.8472,183.16,174.9
Thane,19.1972,72.9722,615.54,533.29
Bhopal,23.2599,77.4126,199.15,191.15
Pimpri-Chinchwad,18.6186,73.8037,214.9,183.26
Patna,25.594,85.1376,816.38,739.83
Bilaspur,22.09,82.15,215.7,199.98
Ludhiana,30.91,75.85,297.86,280.73
agra,27.18,78.02,354.04,330.74
Madurai,9.9252,78.1198,68.63,58.32
Jamshedpur,22.7925,86.1842,480.83,443.75
Prayagraj,25.4358,81.8464,531.53,479.64
Nasik,19.9975,73.7898,165.39,158.09
Faridabad,28.4211,77.3078,330.62,303.12
Meerut,28.98,77.71,346.93,325.25
Jabalpur,23.1667,79.9333,206.08,195.66
Kalyan,19.2502,73.1602,414.08,342.1
Vasai-Virar,19.3607,72.7956,331.31,278.89
Najafgarh,28.6092,76.9798,547.93,474.32
Varanasi,25.3189,83.0128,549.83,488.8
Srinagar,34.09,74.79,294.04,266.31
Aurangabad,19.88,75.32,173.84,167.45
Dhanbad,23.7998,86.4305,254.92,229
Amritsar,31.64,74.86,227.47,214.29
Aligarh,27.88,78.08,404,379.99
Guwahati,26.1722,91.7458,77.66,60.99
Haora,22.58,88.3294,546.08,432.19
Ranchi,23.36,85.33,231.28,216.19
Gwalior,26.2124,78.1772,247.35,231.84
Chandigarh,30.75,76.78,147.26,133.9
Haldwani,29.22,79.52,53.97,43.57
Vijayavada,16.5193,80.6305,143.54,142.73
Jodhpur,26.28,73.02,228.75,214.25
Raipur,21.2444,81.6306,265.93,249.98
Kota,25.18,75.83,136.47,127.18
Bhayandar,19.29,72.85,530.55,474.25
Loni,28.75,77.28,542.65,433.66
Ambattur,13.1143,80.1548,116.76,92.99
Salt Lake City,22.61,88.4,546.08,432.19
Bhatpara,22.87,88.41,310.06,219.33
Kukatpalli,17.4849,78.4138,152.46,137.16
Dasarhalli,13.0465,77.513,86.66,80.03
Muzaffarpur,26.1225,85.3906,572.77,500.42
Oulgaret,11.957,79.7737,80.49,73.73
New Delhi,28.6139,77.2089,541.95,463.68
Tiruvottiyur,13.16,80.3,116.76,92.99
Puducherry,11.9167,79.8167,80.49,73.73
Byatarayanpur,13.0659,77.5922,86.66,80.03
Pallavaram,12.9675,80.1491,173.95,150.9
Secunderabad,17.4399,78.4983,152.46,137.16
Shimla,31.1033,77.1722,65.15,56.6
Puri,19.8,85.8167,273.13,264.38
Murtazabad,28.7111,77.2688,542.65,433.66
Shrirampur,22.75,88.34,310.06,219.33
Chandannagar,22.87,88.38,310.06,219.33
Sultanpur Mazra,28.6981,77.0689,547.93,474.32
Krishnanagar,23.4,88.5,188.38,154.19
Barakpur,22.76,88.37,310.06,219.33
Bhalswa Jahangirpur,28.7354,77.1638,542.65,433.66
Nangloi Jat,28.6833,77.0667,547.93,474.32
Balasore,21.5033,86.925,302.06,286.06
Dalupura,28.6004,77.3194,433.64,360.04
Yelahanka,13.1007,77.5963,97.78,89.98
Titagarh,22.74,88.37,310.06,219.33
Dam Dam,22.62,88.42,546.08,432.19
Bansbaria,22.97,88.4,249.73,226.32
Madhavaram,13.1482,80.2314,116.76,92.99
Abbigeri,13.0767,77.525,86.66,80.03
Baj Baj,22.4828,88.1818,890.05,737.1
Garhi,28.6317,77.3186,433.64,360.04
Mirpeta,17.32,78.52,98,93.06
Nerkunram,13.0619,80.2094,173.95,150.9
Kendraparha,20.5,86.42,279.34,265.15
Sijua,23.7762,86.3303,254.92,229
Manali,13.1667,80.2667,116.76,92.99
Kankuria,24.6523,87.9604,243.18,220.26
Chakapara,22.63,88.35,546.08,432.19
Pappakurichchi,10.8137,78.7481,76.11,61.76
Herohalli,12.9911,77.4873,99.06,91.19
Madipakkam,12.9623,80.1986,173.95,150.9
Sabalpur,25.6053,85.1835,816.38,739.83
Bauria,22.4521,88.1853,890.05,737.1
Salua,22.61,88.27,514.56,355.96
Chik Banavar,13.0846,77.5014,86.66,80.03
Jalhalli,13.0333,77.55,86.66,80.03
Chinnasekkadu,13.1609,80.2573,116.76,92.99
Jethuli,25.5378,85.2841,816.38,739.83
Nagtala,22.4667,88.3833,630.95,538.49
Pakri,25.5876,85.158,816.38,739.83
Hunasamaranhalli,13.1435,77.62,97.78,89.98
Hesarghatta,13.1391,77.4783,93.29,85.76
Bommayapalaiyam,11.9922,79.8499,80.49,73.73
Gundur,10.7339,78.7184,76.11,61.76
Punadih,25.5484,85.2649,816.38,739.83
Hariladih,23.7333,86.4,254.92,229
Alawalpur,25.4958,85.2021,703.07,644.15
Madnaikanhalli,13.0626,77.4642,99.06,91.19
Bagalur,13.133,77.666,97.78,89.98
Kadiganahalli,13.1687,77.6283,97.78,89.98
Khanpur Zabti,28.7103,77.2781,542.65,433.66
Mahuli,25.543,85.2268,816.38,739.83
Zeyadah Kot,22.4445,88.3345,630.95,538.49
Arshakunti,13.0785,77.4225,99.06,91.19
Mirchi,25.5554,85.2139,816.38,739.83
Sonudih,25.1155,87.0214,390.49,363.07
Bayandhalli,12.9779,77.5688,86.66,80.03
Sondekoppa,13,77.3667,99.06,91.19
Babura,25.0851,87.1092,414.01,387.84
Madavar,13.0525,77.4732,99.06,91.19
Kadabgeri,12.9965,77.4331,99.06,91.19
Nanmangalam,12.9381,80.1753,173.95,150.9
Taliganja,22.5041,88.3598,546.08,432.19
Tarchha,25.1116,87.0964,390.49,363.07
Belgharia,22.6581,88.3852,546.08,432.19
Kammanhalli,13.0155,77.6381,86.66,80.03
Ambapuram,16.599,80.8938,148.31,147.54
Sonnappanhalli,13.1557,77.6179,97.78,89.98
Kedihati,22.6508,88.4608,546.08,432.19
Doddajivanhalli,13.0086,77.6143,86.66,80.03
Simli Murarpur,25.5792,85.2401,816.38,739.83
Sonawan,25.5445,85.2387,816.38,739.83
Devanandapur,22.9326,88.3729,249.73,226.32
Tribeni,22.9867,88.3987,249.73,226.32
Huttanhalli,13.1651,77.6512,97.78,89.98
Nathupur,25.5163,85.2544,816.38,739.83
Bali,25.481,85.2227,703.07,644.15
Vajarhalli,13.1022,77.4111,93.29,85.76
Alija Kotla,17.2333,78.55,107.15,97.43
Saino,25.1134,87.0108,390.49,363.07
Shekhpura,25.5725,85.1428,816.38,739.83
Cachohalli,13.001,77.4717,99.06,91.19
Andheri,19.2104,73.0464,615.54,533.29
Narayanpur Kola,25.1293,87.0076,390.49,363.07
Gyan Chak,25.5496,85.2423,816.38,739.83
Kasgatpur,13.1101,77.5045,97.78,89.98
Kitanelli,13.0095,77.4191,99.06,91.19
Harchandi,25.1,87.0442,371.81,341.95
Santoshpur,22.465,88.2193,890.05,737.1
Bendravadi,12.3636,76.9137,73.82,67.3
Kodagihalli,12.9771,77.4651,99.06,91.19
Harna Buzurg,25.0981,87.0148,371.81,341.95
Mailanhalli,13.1863,77.6963,97.78,89.98
Sultanpur,25.5248,85.2507,816.38,739.83
Adakimaranhalli,13.0633,77.4417,99.06,91.19